a              .6 -w
lexington      .lEksINt~ -w
lick           .lIk -w
licking        .lIkIN -w
lie            .l9 -w
lies           .l9z -w
life           .l9f -w
lift           .lIft -w
lifting        .lIftIN -w
lifts          .lIfts -w
lights         .l9ts -w
like           .l9k -w
liked          .l9kt -w
likes          .l9ks -w
limit          .lImIt -w
lindsey's      .lIndziz -w
line           .l9n -w
lining         .l9nIN -w
lion           .l9~ -w
lions          .l9~z -w
lips           .lIps -w
lipstick       .lIpstIk -w
liquid         .lIkwId -w
list           .lIst -w
listen         .lIs~ -w
listening      .lIs~IN -w
listens        .lIs~z -w
little         .lItL -w
live           .lIv -w
liver          .lIvR -w
lives          .lIvz -w
living         .lIvIN -w
lock           .lak -w
locked         .lakt -w
lollipop       .lalipap -w
lollipops      .lalipaps -w
lonesome       .lonsM -w
long           .lON -w
look           .lUk -w
looked         .lUkt -w
looking        .lUkIN -w
looks          .lUks -w
loose          .lus -w
loren          .l%~ -w
lose           .luz -w
loses          .luzIz -w
losing         .luzIN -w
lost           .lOst -w
lot            .lat -w
lots           .lats -w
loud           .lQd -w
love           .lAv -w
loved          .lAvd -w
lovely         .lAvli -w
loves          .lAvz -w
loving         .lAvIN -w
low            .lo -w
luckily        .lAk6li -w
lucky          .lAki -w
lunch          .lAnc -w
lunchtime      .lAnct9m -w
lying          .l9IN -w
m@l            .Em -w
macdonald      .m6kdanLd -w
machine        .m6Sin -w
made           .med -w
magazines      .m&g6zin -w
magic          .m&GIk -w
main           .men -w
maine          .men -w
make           .mek -w
makes          .meks -w
making         .mekIN -w
mama           .mam6 -w
man            .m&n -w
manipulate     .m6nIpy6let -w
manniken       .m&nIkIn -w
manually       .m&nyu6li -w
many           .mEni -w
marco          .m#ko -w
marco's        .m#koz -w
marie          .m6ri -w
marie's        .m6riz -w
marigolds      .m*Igold -w
mark           .m#k -w
marks          .m#ks -w
marshmallow    .m#SmElo -w
mass           .m&s -w
match          .m&c -w
matches        .m&cIz -w
material       .m6t(iL -w
matter         .m&tR -w
matthew        .m&Tyu -w
matthew's      .m&Tyuz -w
maura          .m%6 -w
maura's        .m%6z -w
may            .me -w
maybe          .mebi -w
me             .mi -w
meal           .mil -w
mealtime       .milt9m -w
mean           .min -w
means          .minz -w
meant          .mEnt -w
meat           .mit -w
mechanical     .m6k&nIkL -w
medical        .mEdikL -w
meet           .mit -w
meeting        .mitIN -w
meets          .mits -w
meme           .meme -w
memorize       .mEm6r9z -w
memory         .mEm6ri -w
mention        .mEnS~ -w
mentioned      .mEnS~d -w
mess           .mEs -w
mice           .m9s -w
michael's      .m9kLz -w
mickey         .mIki -w
mickey's       .mIkiz -w
micky          .mIki -w
microphone     .m9kr6fon -w
middle         .mIdL -w
might          .m9t -w
mike           .m9k -w
mike's         .m9ks -w
milk           .mIlk -w
mimi           .mimi -w
mind           .m9nd -w
mine           .m9n -w
minute         .mInIt -w
minutes        .mInIts -w
mirror         .m(R -w
mirrors        .m(Rz -w
miserable      .mIzR6bL -w
miss           .mIs -w
missed         .mIst -w
missus         .mIsIz -w
mistake        .mIstek -w
mistress       .mIstrIs -w
mit@l          .Em .9 .ti -w
mittens        .mIt~ -w
mixed          .mIkst -w
moira          .m7r6 -w
mom            .mam -w
mommies        .mamiz -w
mommy          .mami -w
mommy's        .mamiz -w
monkey         .mANki -w
monkey's       .mANkiz -w
monkeys        .mANkiz -w
monster        .manstR -w
month          .mAnT -w
months         .mAnTs -w
mood           .mud -w
moon           .mun -w
more           .m% -w
morning        .m%nIN -w
most           .most -w
mostly         .mostli -w
mother         .mADR -w
mother's       .mADRz -w
motor          .motR -w
mouse          .mQs -w
mousie         .mQsi -w
mouth          .mQT -w
mouths         .mQDz -w
move           .muv -w
moved          .muvd -w
movie          .muvi -w
moving         .muvIN -w
much           .mAc -w
muffin         .mAfIn -w
mug            .mAg -w
mugs           .mAgz -w
mules          .myulz -w
mum            .mAm -w
mummy          .mAmi -w
muppet         .mApIt -w
muppets        .mApIts -w
museum         .myuziM -w
mush           .mAS -w
music          .myuzIk -w
must           .mAst -w
mustn't        .mAs~t -w
mutilate       .myutLet -w
my             .m9 -w
myself         .m9sElf -w
n@l            .En -w
name           .nem -w
name's         .nemz -w
named          .nemd -w
names          .nemz -w
naming         .nemIN -w
nan            .n&n -w
nan's          .n&nz -w
nap            .n&p -w
napkin         .n&pkIn -w
napping        .n&pIN -w
naturally      .n&cr6li -w
nearby         .n(b9 -w
neat           .nit -w
necessarily    .nEs6s*6li -w
necessary      .nEs6s*i -w
neck           .nEk -w
necklace       .nEklIs -w
need           .nid -w
needed         .nidId -w
needs          .nidz -w
negative       .nEg6tIv -w
neither        .niDR -w
nephew         .nEfyu -w
nephew's       .nEfyuz -w
nervous        .n3v6s -w
neuter         .nutR -w
never          .nEvR -w
new            .nu -w
next           .nEkst -w
nice           .n9s -w
nicer          .n9sR -w
night          .n9t -w
nightgown      .n9tgQn -w
nightgowns     .n9tgQnz -w
nightmare      .n9tm* -w
nine           .n9n -w
ninth          .n9nT -w
no             .no -w
nobody         .nobadi -w
nobody's       .nobadiz -w
noise          .n7z -w
noises         .n7zIz -w
none           .nAn -w
nonexistent    .nanIgzIst~t -w
noodle         .nudL -w
nope           .nop -w
normal         .n%mL -w
normally       .n%m6li -w
nose           .noz -w
not            .nat -w
nothing        .nATIN -w
noticed        .notIst -w
noticing       .notIsIN -w
novelty        .navLti -w
now            .nQ -w
nudist         .nudIst -w
number         .nAmbR -w
numbers        .nAmbRz -w
nurse          .n3s -w
nursery        .n3s6ri -w
nurses         .n3sIz -w
nursing        .n3sIN -w
nuts           .nAts -w
o'clock        .6klak -w
o'clocks       .6klaks -w
o@l            .o -w
oatmeal        .otmil -w
obi            .obi -w
obi's          .obiz -w
obie           .obi -w
objects        .abGIks -w
observed       .6bz3vd -w
observing      .6bz3vIN -w
obvious        .abvi6s -w
obviously      .abvi6sli -w
occasionally   .6keZ6nL -w
occurred       .6k3d -w
ocean          .oS~ -w
october        .aktobR -w
odd            .ad -w
of             .6v -w
off            .Of -w
offers         .OfRz -w
offhand        .Ofh&nd -w
office         .OfIs -w
often          .Of~ -w
ok             .oke -w
okay           .oke -w
old            .old -w
older          .oldR -w
on             .an -w
once           .wAns -w
one            .wAn -w
one's          .wAnz -w
ones           .wAnz -w
onion          .Any~ -w
only           .onli -w
onto           .antu -w
open           .op~ -w
opened         .op~d -w
opening        .op~IN -w
opens          .op~z -w
operation      .ap6reS~ -w
opposed        .6pozd -w
opposite       .ap6zIt -w
or             .% -w
orange         .%InG -w
order          .%dR -w
orderly        .%dRli -w
originally     .6rIG6nLi -w
other          .ADR -w
others         .ADRz -w
otherwise      .ADRw9z -w
our            .# -w
ours           .#z -w
out            .Qt -w
outdoor        .Qtd% -w
outdoors       .Qtd%z -w
outlets        .QtlEts -w
outside        .Qts9d -w
over           .ovR -w
owl            .QL -w
owls           .QLz -w
own            .on -w
owned          .ond -w
p@l            .pi -w
page           .peG -w
pages          .peGIz -w
paid           .ped -w
paint          .pent -w
pajamas        .p6G&m6z -w
pan            .p&n -w
pancake        .p&nkek -w
pancakes       .p&nkeks -w
pans           .p&nz -w
pants          .p&nts -w
papa           .pap6 -w
paper          .pepR -w
parade         .p6red -w
park           .p#k -w
parrot         .p*6t -w
part           .p#t -w
particular     .pRtIky6lR -w
parts          .p#ts -w
party          .p#ti -w
passes         .p&sIz -w
past           .p&st -w
paste          .pest -w
pat            .p&t -w
patient        .peS~t -w
patrick        .p&trIk -w
pats           .p&ts -w
patted         .p&tId -w
patting        .p&tIN -w
paul           .pOl -w
paul's         .pOlz -w
pay            .pe -w
paying         .peIN -w
peach          .pic -w
peanut         .pinAt -w
pear           .p* -w
peek           .pik -w
peekaboo       .pik6bu -w
peers          .p(z -w
peg            .pEg -w
pegs           .pEgz -w
pencil         .pEnsL -w
pencils        .pEnsLz -w
pens           .pEnz -w
people         .pipL -w
people's       .pipLz -w
pepe           .pepe -w
perfectly      .p3fIktli -w
perform        .pRf%m -w
perhaps        .pRh&ps -w
perpendicular  .p3p~dIky6lR -w
person         .p3s~ -w
person's       .p3s~z -w
perspective    .pRspEktIv -w
pester         .pEstR -w
pet            .pEt -w
peter          .pitR -w
peter's        .pitRz -w
pets           .pEts -w
phone          .fon -w
phone's        .fonz -w
phones         .fonz -w
phrase         .frez -w
pick           .pIk -w
picked         .pIkt -w
picking        .pIkIN -w
pickles        .pIkLz -w
picks          .pIks -w
picnics        .pIknIks -w
picture        .pIkcR -w
pictures       .pIkcRz -w
piece          .pis -w
pieces         .pisIz -w
pig            .pIg -w
pigeons        .pIG~ -w
piggie         .pIgi -w
piggy          .pIgi -w
pigs           .pIgz -w
pike           .p9k -w
pile           .p9l -w
piles          .p9lz -w
pin            .pIk -w
pink           .pINk -w
pins           .pInz -w
place          .ples -w
plain          .plen -w
plant          .pl&nt -w
plastic        .pl&stIk -w
plate          .plet -w
plates         .plets -w
play           .ple -w
played         .pled -w
player         .pleR -w
playgroup      .plegrup -w
playing        .pleIN -w
playpen        .plepEn -w
playroom       .plerum -w
plays          .plez -w
please         .pliz -w
pleased        .plizd -w
pleasure       .plEZR -w
plenty         .plEnti -w
plugs          .plAgz -w
pocket         .pakIt -w
pocketbook     .pakItbUk -w
point          .p7nt -w
pointed        .p7ntId -w
pointing       .p7ntIN -w
points         .p7nts -w
poke           .pok -w
pokey          .poki -w
pole           .pol -w
poles          .polz -w
pony           .poni -w
pooh           .pu -w
pool           .pul -w
poops          .pups -w
poor           .p) -w
pop            .pap -w
poppy          .papi -w
posies         .poziz -w
possible       .pas6bL -w
possibly       .pas6bli -w
pots           .pats -w
potted         .patId -w
pouring        .p%IN -w
precisely      .prIs9sli -w
prefer         .prIf3 -w
prefers        .prIf3z -w
prehistoric    .prihIst%Ik -w
prepare        .prIp* -w
preschool      .priskul -w
present        .prEz~t -w
preserver      .prIz3vR -w
press          .prEs -w
pressed        .prEst -w
pressure       .prESR -w
pretend        .prItEnd -w
pretending     .prItEndIN -w
pretty         .prIti -w
price          .pr9s -w
primarily      .pr9m*6li -w
primary        .pr9m*i -w
principle      .prIns6pL -w
prior          .pr9R -w
probably       .prab6li -w
problem        .prablM -w
promote        .pr6mot -w
pronunciation  .pr6nAnsieS~ -w
proper         .prapR -w
proving        .pruvIN -w
pull           .pUl -w
pulled         .pUld -w
pullover       .pUlovR -w
pumpkins       .pAmpkInz -w
pup            .pAp -w
puppet         .pApIt -w
puppets        .pApIts -w
puppies        .pApiz -w
puppy          .pApi -w
puppy's        .pApiz -w
purple         .p3pL -w
purse          .p3s -w
push           .pUS -w
pushing        .pUSIN -w
put            .pUt -w
puts           .pUts -w
putting        .pUtIN -w
puzzle         .pAzL -w
puzzles        .pAzLz -w
q@l            .kyu -w
quack          .kw&k -w
questionable   .kwEsc6n6bL -w
quick          .kwIk -w
quickly        .kwIkli -w
quiet          .kw9It -w
quieter        .kw9ItR -w
quilt          .kwIlt -w
quilts         .kwIlts -w
quite          .kw9t -w
quiver         .kwIvR -w
quizzed        .kwIzd -w
r@l            .# -w
rabbit         .r&bIt -w
rabbits        .r&bIts -w
raccoon        .r&kun -w
raggedy        .r&gIdi -w
raisin         .rezIn -w
raisins        .rezInz -w
ran            .r&n -w
rang           .r&N -w
rarely         .r*li -w
rat            .r&t -w
rather         .r&DR -w
rattle         .r&tL -w
reach          .ric -w
react          .ri&kt -w
read           .rid -w
reading        .ridIN -w
reads          .ridz -w
ready          .rEdi -w
real           .ril -w
realistic      .ri6lIstIk -w
realize        .ri6l9z -w
realized       .ri6l9zd -w
really         .rili -w
reason         .riz~ -w
receiver       .rIsivR -w
recently       .ris~tli -w
recite         .rIs9t -w
recognize      .rEk6gn9z -w
recognizes     .rEk6gn9zIz -w
recognizing    .rEk6gn9zIN -w
recommended    .rEk6mEndId -w
record         .rEkRd -w
recorder       .rIk%dR -w
recordings     .rIk%dINz -w
records        .rEkRdz -w
red            .rEd -w
redid          .ridId -w
reference      .rEfr~s -w
refrigerator   .rIfrIG6retR -w
regressing     .rIgrEsIN -w
regular        .rEgy6lR -w
regularly      .rEgy6lRli -w
relate         .rIlet -w
relationship   .rIleS~SIp -w
relaxing       .rIl&ksIN -w
remember       .rImEmbR -w
remembered     .rImEmbRd -w
remembers      .rImEmbRz -w
reminded       .rIm9ndId -w
remove         .rImuv -w
removed        .rImuvd -w
repeat         .rIpit -w
repeated       .rIpitId -w
repeating      .rIpitIN -w
repetition     .rEpItIS~ -w
representative .rEprizEnt6tIv -w
respond        .rIspand -w
response       .rIspans -w
rest           .rEst -w
resting        .rEstIN -w
restrained     .rIstrend -w
result         .rIzAlt -w
rhyme          .r9m -w
rhymes         .r9mz -w
rhyming        .r9mIN -w
ribbon         .rIb~ -w
richard        .rIcRd -w
ricky          .rIki -w
rid            .rId -w
ride           .r9d -w
riding         .r9dIN -w
right          .r9t -w
ring           .rIN -w
ringing        .rININ -w
rings          .rINz -w
rip            .rIp -w
rips           .rIps -w
river          .rIvR -w
rock           .rak -w
rocker         .rakR -w
rockers        .rakRz -w
rocking        .rakIN -w
roll           .rol -w
room           .rum -w
rooster        .rustR -w
rose           .roz -w
roses          .rozIz -w
rosey          .rozi -w
rosies         .roziz -w
rote           .rot -w
rough          .rAf -w
round          .rQnd -w
routine        .rutin -w
routines       .rutinz -w
rude           .rud -w
rug            .rAg -w
run            .rAn -w
running        .rAnIN -w
runs           .rAnz -w
s@l            .Es -w
said           .sEd -w
sale           .sel -w
sally          .s&li -w
same           .sem -w
sand           .s&nd -w
sandals        .s&ndLz -w
sandwich       .s&ndwIc -w
sat            .s&t -w
satisfies      .s&tIsf9z -w
saucer         .sOsR -w
saucers        .sOsRz -w
saw            .sO -w
say            .se -w
saying         .seIN -w
says           .sEz -w
scare          .sk* -w
scared         .sk*d -w
scarry         .sk*i -w
school         .skul -w
scissors       .sIzRz -w
scooby         .skubi -w
scott          .skat -w
scrambled      .skr&mbLd -w
scratch        .skr&c -w
scratching     .skr&cIN -w
scratchy       .skr&ci -w
scribbles      .skrIbLz -w
seat           .sit -w
sec            .sEk -w
second         .sEk~d -w
sectioned      .sEkS~d -w
sections       .sEkS~z -w
see            .si -w
seeds          .sidz -w
seek           .sik -w
seem           .sim -w
seemed         .simd -w
seems          .simz -w
seen           .sin -w
sees           .siz -w
segment        .sEgm~t -w
selection      .sIlEkS~ -w
self           .sElf -w
semicircle     .sEmIs3kL -w
sense          .sEns -w
sentence       .sEnt~s -w
sentences      .sEnt~sIz -w
separate       .sEp6ret -w
separation     .sEp6reS~ -w
september      .sEptEmbR -w
sequential     .sIkwEnSL -w
serious        .s(i6s -w
sesame         .sEs6mi -w
set            .sEt -w
seuss          .sus -w
seuss's        .susIz -w
seven          .sEv~ -w
several        .sEvrL -w
sewn           .son -w
sews           .soz -w
sex            .sEks -w
sexual         .sEkSuL -w
shabby         .S&bi -w
shadow         .S&do -w
shake          .Sek -w
shall          .SL -w
share          .S* -w
sharing        .S*IN -w
shark          .S#k -w
sharks         .S#ks -w
shave          .Sev -w
shaving        .SevIN -w
she            .Si -w
she'd          .Sid -w
she'll         .Sil -w
she's          .Siz -w
sheep          .Sip -w
shena          .Sin6 -w
sherry         .S*i -w
shirt          .S3t -w
shirts         .S3ts -w
shoe           .Su -w
shoelaces      .SulesIz -w
shoes          .Suz -w
shopping       .SapIN -w
short          .S%t -w
should         .SUd -w
shoulders      .SoldRz -w
shouldn't      .SUd~t -w
show           .So -w
showed         .Sod -w
showing        .SoIN -w
shut           .SAt -w
sick           .sIk -w
side           .s9d -w
sides          .s9dz -w
silly          .sIli -w
simple         .sImpL -w
since          .sIns -w
sing           .sIN -w
sir            .s3 -w
sissy          .sIsi -w
sister         .sIstR -w
sister's       .sIstRz -w
sit            .sIt -w
sits           .sIts -w
sitting        .sItIN -w
situation      .sIcueS~ -w
six            .sIks -w
size           .s9z -w
skipped        .skIpt -w
skips          .skIps -w
sky            .sk9 -w
sleep          .slip -w
sleeping       .slipIN -w
sleeps         .slips -w
sleepy         .slipi -w
sleeve         .sliv -w
sleeves        .slivz -w
slew           .slu -w
slick          .slIk -w
slide          .sl9d -w
slightest      .sl9tIst -w
slippers       .slIpRz -w
small          .smOl -w
smaller        .smOlR -w
smart          .sm#t -w
smell          .smEl -w
smelling       .smElIN -w
smells         .smElz -w
smile          .sm9l -w
smiles         .sm9lz -w
snake          .snek -w
snap           .sn&p -w
snaps          .sn&ps -w
sneakers       .snikRz -w
snow           .sno -w
snowblower     .snobloR -w
snowed         .snod -w
snowing        .snoIN -w
snowman        .snom&n -w
snows          .snoz -w
so             .so -w
sock           .sak -w
socks          .saks -w
soft           .sOft -w
some           .s6m -w
somebody       .sAmbadi -w
someone        .sAmwAn -w
someone's      .sAmwAnz -w
something      .sAmTIN -w
something's    .sAmTINz -w
sometimes      .sAmt9mz -w
somewhere      .sAmW* -w
song           .sON -w
songs          .sONz -w
soon           .sun -w
sophisticated  .s6fIstIketId -w
sorry          .s%i -w
sort           .s%t -w
sound          .sQnd -w
sounded        .sQndId -w
sounding       .sQndIN -w
sounds         .sQndz -w
soup           .sup -w
space          .spes -w
spank          .sp&Nk -w
spanked        .sp&Nkt -w
speak          .spik -w
speaking       .spikIN -w
speaks         .spiks -w
specific       .spIsIfIk -w
spend          .spEnd -w
spends         .spEndz -w
spills         .spIlz -w
spontaneously  .spanteni6s -w
spools         .spulz -w
spoon          .spun -w
spoons         .spunz -w
spring         .sprIN -w
square         .skw* -w
squeak         .skwik -w
squirrel       .skw3L -w
squirrels      .skw3Lz -w
stack          .st&k -w
stacked        .st&kt -w
stacking       .st&kIN -w
stacks         .st&ks -w
stage          .steG -w
stages         .steGIz -w
stand          .st&nd -w
standing       .st&ndIN -w
start          .st#t -w
started        .st#tId -w
starting       .st#tIN -w
starts         .st#ts -w
starved        .st#vd -w
stay           .ste -w
stays          .stez -w
steak          .stek -w
steak's        .steks -w
steam          .stim -w
steer          .st( -w
stegosaurus    .stEg6s%6s -w
stereos        .st*ioz -w
stick          .stIk -w
sticking       .stIkIN -w
sticks         .stIks -w
still          .stIl -w
stock          .stak -w
stomach        .stAm6k -w
stoneham       .stonM -w
stood          .stUd -w
stop           .stap -w
stopped        .stapt -w
store          .st% -w
stores         .st%z -w
stories        .st%iz -w
storm          .st%m -w
story          .st%i -w
stove          .stov -w
strange        .strenG -w
strap          .str&p -w
straps         .str&ps -w
strawberries   .strOb*iz -w
strawberry     .strOb*i -w
street         .strit -w
strings        .strINz -w
stroller       .strolR -w
stronger       .strONR -w
structure      .strAkcR -w
struggle       .strAgL -w
stuck          .stAk -w
stuff          .stAf -w
stuffed        .stAft -w
subject        .sAbGIkt -w
substituted    .sAbstItutId -w
successful     .s6ksEsfL -w
such           .sAc -w
suchi          .suci -w
sucking        .sAkIN -w
sudden         .sAd~ -w
suddenly       .sAd~li -w
suggestion     .s6gGEsc~ -w
suit           .sut -w
suits          .suts -w
summer         .sAmR -w
summers        .sAmRz -w
sun            .sAn -w
sunflower      .sAnflQR -w
super          .supR -w
supper         .sApR -w
supply         .s6pl9 -w
supposed       .s6pozd -w
sure           .S3 -w
surface        .s3fIs -w
surprised      .sRpr9zd -w
susie          .suzi -w
suspenders     .s6spEndR -w
susy           .suzi -w
suzie          .suzi -w
suzy           .suzi -w
sweater        .swEtR -w
sweaters       .swEtRz -w
sweet          .swit -w
sweetheart     .swith#t -w
swim           .swIm -w
swimming       .swImIN -w
swing          .swIN -w
swinging       .swININ -w
swings         .swINz -w
symbiotic      .sImbiatIk -w
t@l            .ti -w
table          .tebL -w
tail           .tel -w
take           .tek -w
taken          .tek~ -w
takes          .teks -w
taking         .tekIN -w
talk           .tOk -w
talkative      .tOk6tIv -w
talked         .tOkt -w
talking        .tOkIN -w
talks          .tOks -w
tall           .tOl -w
tangling       .t&NglIN -w
tank           .t&Nk -w
tape           .tep -w
taste          .test -w
tastes         .tests -w
tata           .t&t& -w
tata's         .t&t&z -w
taught         .tOt -w
tea            .ti -w
teach          .tic -w
teacher        .ticR -w
teaching       .ticIN -w
tear           .t( -w
tears          .t(z -w
teas           .tiz -w
teeth          .tiT -w
telephone      .tEl6fon -w
telephone's    .tEl6fonz -w
television     .tEl6vIZ~ -w
televisions    .tEl6vIZ~z -w
tell           .tEl -w
telling        .tElIN -w
tells          .tElz -w
ten            .tEn -w
tend           .tEnd -w
tennis         .tEnIs -w
tents          .tEnts -w
term           .t3m -w
terms          .t3mz -w
terrible       .t*6bL -w
terribly       .t*6bli -w
test           .tEst -w
tested         .tEstId -w
than           .D&n -w
thank          .T&Nk -w
that           .D&t -w
that's         .D&ts -w
the            .D6 -w
their          .D* -w
them           .DEm -w
them's         .DEmz -w
then           .DEn -w
there          .D* -w
there's        .D*z -w
these          .Diz -w
they           .De -w
they're        .D* -w
they've        .Dev -w
thick          .TIk -w
thin           .TIn -w
thing          .TIN -w
things         .TINz -w
think          .TINk -w
thinking       .TINkIN -w
thinks         .TINks -w
third          .T3d -w
this           .DIs -w
those          .Doz -w
though         .Do -w
thought        .TOt -w
thread         .TrEd -w
three          .Tri -w
threes         .Triz -w
threw          .Tru -w
throat         .Trot -w
through        .Tru -w
throw          .Tro -w
throwing       .TroIN -w
thrown         .Tron -w
throws         .Troz -w
thumb          .TAm -w
thumbs         .TAmz -w
tickle         .tIkL -w
ticks          .tIks -w
tie            .t9 -w
tied           .t9d -w
ties           .t9z -w
tiger          .t9gR -w
tigers         .t9gRz -w
time           .t9m -w
times          .t9mz -w
tired          .t9Rd -w
tissues        .tISuz -w
to             .tu -w
toast          .tost -w
today          .t6de -w
today's        .t6dez -w
toe            .to -w
toes           .toz -w
together       .t6gEDR -w
told           .told -w
tomorrow       .t6m#o -w
ton            .tAn -w
tonga          .taNg6 -w
tongue         .tAN -w
tongue's       .tANz -w
tonight        .t6n9t -w
tons           .tAnz -w
too            .tu -w
took           .tUk -w
top            .tap -w
totally        .totLi -w
touch          .tAc -w
touching       .tAcIN -w
towards        .t%dz -w
tower          .tQR -w
towers         .tQRz -w
toy            .t7 -w
toys           .t7z -w
tracks         .tr&ks -w
train          .tren -w
trains         .trenz -w
tray           .tre -w
tree           .tri -w
tricky         .trIki -w
tricycle       .tr9sIkL -w
tried          .tr9d -w
tries          .tr9z -w
trike          .tr9k -w
trip           .trIp -w
tripping       .trIpIN -w
trouble        .trAbL -w
truck          .trAk -w
trucks         .trAks -w
true           .tru -w
trunk          .trANk -w
truthfully     .truTf6li -w
try            .tr9 -w
trying         .tr9IN -w
tulip          .tulIp -w
tulips         .tulIps -w
tumble         .tAmbL -w
tumbled        .tAmbLd -w
tummy          .tAmi -w
tunes          .tunz -w
turn           .t3n -w
turned         .t3nd -w
turns          .t3nz -w
turtle         .t3tL -w
turtle's       .t3tLz -w
tv             .tivi -w
twenty         .twEnti -w
twice          .tw9s -w
two            .tu -w
u@l            .yu -w
ukelele        .yuk6leli -w
umbrella       .AmbrEl6 -w
unbearable     .Anb*6bL -w
unbreakable    .Anbrek6bL -w
unbutton       .AnbAt~ -w
uncle          .ANkL -w
unconsciously  .AnkanS6sli -w
under          .AndR -w
underpants     .AndRp&nts -w
understand     .AndRst&nd -w
understanding  .AndRst&ndIN -w
understands    .AndRst&ndz -w
understood     .AndRstUd -w
undo           .Andu -w
undress        .AndrEs -w
undressing     .AndrEsIN -w
unicorn        .yunIk%n -w
unique         .yunik -w
unless         .AnlEs -w
unload         .Anlod -w
unlock         .Anlak -w
unravels       .Anr&vLz -w
unsnap         .Ansn&p -w
untie          .Ant9 -w
untied         .Ant9d -w
unties         .Ant9z -w
until          .AntIl -w
untying        .Ant9IN -w
unzip          .AnzIp -w
unzipped       .AnzIpt -w
unzipping      .AnzipIN -w
up             .Ap -w
upside         .Aps9d -w
urge           .3G -w
us             .As -w
use            .yuz -w
used           .yuzd -w
uses           .yuzIz -w
usually        .yuZw6li -w
utensils       .yutEnsIlz -w
v@l            .vi -w
vacation       .vekeS~ -w
vacuum         .v&kyum -w
vacuums        .v&kyumz -w
valentine      .v&l~t9n -w
vanilla        .v6nIl6 -w
verbalize      .v3b6l9z -w
very           .v*i -w
viewpoint      .vyup7nt -w
vigorously     .vIgR6s -w
vine           .v9n -w
vinnie         .vIni -w
vintage        .vIntIG -w
violin         .v96lIn -w
virginia       .vRGIny6 -w
virtually      .v3cu6li -w
visiting       .vIzItIN -w
vividly        .vIvIdli -w
vocal          .vokL -w
voice          .v7s -w
voices         .v7sIz -w
volunteer      .val~t( -w
w@l            .dAbLyu -w
wagon          .weg~ -w
wait           .wet -w
wake           .wek -w
wakes          .weks -w
waking         .wekIN -w
walk           .wOk -w
walked         .wOkt -w
walking        .wOkIN -w
walks          .wOks -w
wall           .wOl -w
walls          .wOlz -w
walt           .wOlt -w
wanna          .wan6 -w
want           .want -w
want's         .wants -w
wanted         .wantId -w
wants          .wants -w
warm           .w%m -w
was            .wAz -w
wash           .waS -w
washcloth      .waSklOT -w
washed         .waSt -w
washes         .waSIz -w
washing        .waSIN -w
wasn't         .wAz~t -w
watch          .wac -w
watched        .wact -w
watches        .wacIz -w
watching       .wacIN -w
water          .wOtR -w
wave           .wev -w
waves          .wevz -w
waving         .wevIN -w
way            .we -w
ways           .wez -w
we             .wi -w
we'll          .wil -w
we're          .w( -w
we've          .wiv -w
wear           .w* -w
wearing        .w*IN -w
wears          .w*z -w
week           .wik -w
weekend        .wikEnd -w
weeks          .wiks -w
weird          .w(d -w
welcome        .wElkM -w
well           .wEl -w
went           .wEnt -w
were           .w3 -w
whack          .W&k -w
whale          .Wel -w
what           .WAt -w
what's         .WAts -w
whatever       .WAtEvR -w
wheat          .Wit -w
wheelbarrow    .Wilb*o -w
wheels         .Wilz -w
when           .WEn -w
whence         .WEns -w
whenever       .WEnEvR -w
where          .W* -w
where'd        .W*d -w
where's        .W*z -w
whereas        .W*&z -w
whereupon      .W*6pan -w
wherever       .W*EvR -w
whether        .WEDR -w
which          .WIc -w
while          .W9l -w
whiskers       .WIskRz -w
white          .W9t -w
who            .hu -w
who's          .huz -w
whole          .hol -w
whom           .hum -w
whose          .huz -w
why            .W9 -w
wicked         .wIkId -w
wild           .w9ld -w
will           .wIl -w
willing        .wIlIN -w
window         .wIndo -w
windows        .wIndoz -w
winnie         .wIni -w
winter         .wIntR -w
wish           .wIS -w
with           .wIT -w
without        .wITQt -w
woman          .wUm~ -w
won't          .wont -w
wonder         .wAndR -w
wondered       .wAndRd -w
wonderful      .wAndRfL -w
wondering      .wAndRIN -w
wood           .wUd -w
wooden         .wUd~ -w
woowoo         .wuwu -w
word           .w3d -w
words          .w3dz -w
work           .w3k -w
worked         .w3kt -w
working        .w3kIN -w
works          .w3ks -w
worn           .w%n -w
worry          .w3i -w
would          .wUd -w
wouldn't       .wUd~t -w
wrap           .r&p -w
wrapped        .r&pt -w
wrappings      .r&pINz -w
wrist          .rIst -w
write          .r9t -w
wrong          .rON -w
x@l            .Eks -w
xylophone      .z9l6fon -w
y@l            .w9 -w
yard           .y#d -w
yarn           .y#n -w
yawn           .yOn -w
yeah           .y& -w
year           .y( -w
years          .y(z -w
yelling        .yElIN -w
yellow         .yElo -w
yells          .yElz -w
yes            .yEs -w
yesterday      .yEstRde -w
yet            .yEt -w
yolk           .yok -w
york           .y%k -w
you            .yu -w
you'd          .yud -w
you'll         .yul -w
you're         .y) -w
you've         .yuv -w
younger        .yANgR -w
your           .y) -w
yours          .y)z -w
yourself       .y)sElf -w
youth          .yuT -w
z@l            .zi -w
zebra          .zibr6 -w
zebras         .zibr6z -w
zinnias        .zIni6z -w
zip            .zIp -w
zipped         .zIpt -w
zipper         .zIpR -w
zipper's       .zIpRz -w
zippers        .zIpRz -w
zipping        .zIpIN -w
zips           .zIps -w
zoo            .zu -w
